SUBJECT|SUB_NER|SCALAR_TYPE|TAG|VERB||VCAT|TAG|OBJECT|OBJ_NER|SCALAR_TYPE|TAG|LABEL 
Tom|PERSON||NNP|helped|Other|VBD|Mary escape|CRIMINAL_CHARGE||NN
She|O||PRP|kept|Other|VBD|working|O||VBG
He|O||PRP|has|containment|VBZ|goatee|O||NN
It|O||PRP|'s in|Other|IN|peak condition|O||NN
We|O||PRP|found here|Other|RB|them|O||PRP
I|O||PRP|really respect|Other|NN|Tom|PERSON||NNP
's|O||POS|do|Other|VB|this|O||DT
I|O||PRP|can fake|Other|JJ|it|O||PRP
She|O||PRP|has|containment|VBZ|many faults|O||NNS
it|O||PRP|has|containment|null|my job|O||NN
Humans|O||NNS|are|IS-A|VBP|stupid animals|O||NNS
chairs|O||NNS|are|IS-A|VBP|taken|O||VBN
It|O||PRP|comes|Other|VBZ|eating|O||VBG
That|O||DT|has|containment|null|last year 's snow|O||NN
I|O||PRP|'m afraid of|Other|IN|bats|O||NNS
She|O||PRP|covered|Other|VBD|her tattoos|O||NNS
I|O||PRP|'ll certainly miss|Other|VB|her|O||PRP
socks|O||NNS|smell|Other|VBP|bad|O||JJ
I|O||PRP|ended|Other|VBD|your sleep|O||NN
everything|O||NN|Suddenly went|Other|VBD|black|O||JJ
We|O||PRP|started before|Other|IN|sunrise|O||NN
This|O||DT|is|IS-A|VBZ|powerful stuff|O||NN
He|O||PRP|looks|Other|VBZ|very worried|O||JJ
He|O||PRP|guaranteed|Other|VBD|my debt|O||NN
That|O||DT|'s enough for|Other|IN|today|DATE||NN
you|O||PRP|Do recognize|Other|VB|this|O||DT
I|O||PRP|had|possession|VBD|two dogs|O||NNS
me|O||PRP|tell|Other|VB|it|O||PRP
I|O||PRP|doubt|Other|VBP|generalizations|O||NNS
you|O||PRP|Did salt|Other|NN|this|O||DT
She|O||PRP|'s combing|Other|VBG|her hair|O||NN
I|O||PRP|intended|Other|VBD|succeed|O||VB
We|O||PRP|need|Other|VBP|challenge|O||NN
Christianity|RELIGION||NNP|has|containment|VBZ|many followers|O||NNS
I|O||PRP|love|Other|VBP|you|O||PRP
This|O||DT|is|IS-A|VBZ|cooking well|O||RB
Tom|PERSON||NNP|is|IS-A|VBZ|very secretive|O||JJ
Tom|PERSON||NNP|loves|Other|VBZ|drive|O||VB
His picture|O||NN|got|Other|VBD|accepted|O||VBN
She|O||PRP|has|containment|null|shallow|O||JJ
She|O||PRP|really likes|Other|VBZ|English|NATIONALITY||NNP
They|O||PRP|formed|consist|VBD|circle|O||NN
you|O||PRP|are|IS-A|VBP|How now|DATE||RB
children|O||NNS|dislike|Other|VBP|school|O||NN
I|O||PRP|could kill|Other|VB|you|O||PRP
I|O||PRP|know|Other|VBP|Tom personally|O||RB
Everyone|O||NN|has|containment|null|laughing at us|O||PRP
She|O||PRP|identified immediately|Other|RB|him|O||PRP
Animals|O||NNS|act on|Other|IN|instinct|O||NN
His teeth|O||NNS|had|possession|VBD|gaps|O||NNS
You|O||PRP|'re|Other|VBP|'re very unfair|O||JJ
Tom|PERSON||NNP|made|Other|VBD|leather goods|O||NNS
I|O||PRP|am teaching|Other|VBG|English|NATIONALITY||NNP
He|O||PRP|invited personally|Other|RB|me|O||PRP
I|O||PRP|must buy|Other|VB|one|NUMBER||CD
Your plan|O||NN|sounds|Other|VBZ|great|O||JJ
His life|O||NN|seems|Other|VBZ|hexed|O||VBN
It|O||PRP|'s starting to|Other|TO|rain|O||NN
Tom|PERSON||NNP|slit|Other|VBD|his wrists|O||NNS
Tom|PERSON||NNP|needs|Other|VBZ|new shoes|O||NNS
I|O||PRP|'m|Other|VBP|busy guy|O||NN
I|O||PRP|'m|Other|VBP|suddenly very thirsty|O||JJ
you|O||PRP|Do have|Other|VBP|money|O||NN
's|O||PRP|do together|Other|RB|something|O||NN
She|O||PRP|is|IS-A|VBZ|badly off|O||RB
You|O||PRP|do seem|Other|VB|different|O||JJ
That|O||DT|would|Other|MD|would dumb|O||JJ
People|O||NNS|liked|Other|VBD|Jimmy Carter|PERSON||NNP
We|O||PRP|'re worried about|Other|IN|him|O||PRP
She|O||PRP|showers at_time|Other|null|morning|SET||NN
We|O||PRP|could ask|Other|VB|her|O||PRP
Tom|PERSON||NNP|scarcely recognized|Other|VBD|Mary|PERSON||NNP
You|O||PRP|have|possession|VBP|books|O||NNS
Tom|PERSON||NNP|hugged close|Other|RB|Mary|PERSON||NNP
Traffic|O||NN|was|IS-A|VBD|heavy|O||JJ
I|O||PRP|'m|Other|VBP|fine|O||JJ
It|O||PRP|has|containment|null|complicated subject|O||NN
women|O||NNS|are|IS-A|VBP|strong|O||JJ
That|O||DT|'s all|Other|DT|I said|O||VBD
It|O||PRP|was|IS-A|VBD|years ago|DATE||RB
I|O||PRP|live in|Other|IN|comfort|O||NN
Kids|O||NNS|really want|Other|VBP|balloons|O||NNS
I|O||PRP|like|Other|VBP|colors|O||NNS
Lincoln|PERSON||NNP|died in|Other|IN|1865|DATE||CD
She|O||PRP|comes from|Other|IN|California|STATE_OR_PROVINCE||NNP
I|O||PRP|'m|Other|VBP|surprised|O||JJ
You|O||PRP|'re|Other|VBP|funny one|NUMBER||CD
We|O||PRP|are learning|Other|VBG|Arabic|MISC||NNP
We|O||PRP|must|Other|MD|must 've followed|O||VBN
They|O||PRP|are|IS-A|VBP|my friends|O||NNS
Monroe|PERSON||NNP|received|Other|VBD|65 votes|O||NNS
Tom|PERSON||NNP|spilled|Other|VBD|milk|O||NN
Earth|O||NNP|is|IS-A|VBZ|planet|O||NN
He|O||PRP|is|IS-A|VBZ|very fast|O||RB
You|O||PRP|'ve underestimated|Other|VBD|Tom|PERSON||NNP
Tom|PERSON||NNP|broke|Other|VBD|law|O||NN
His information|O||NN|is|IS-A|VBZ|certain|O||JJ
It|O||PRP|was|IS-A|VBD|God 's will|O||NN
Mother|O||NN|has|containment|VBZ|old-fashioned ideas|O||NNS
weather|O||NN|is|IS-A|VBZ|terrible|O||JJ
His behaviour|O||NN|was|IS-A|VBD|bad|O||JJ
I|O||PRP|stayed at|Other|IN|home|O||NN
Humans|O||NNS|are|IS-A|VBP|stupid animals|O||NNS
You|O||PRP|bring|Other|VBP|bagels|O||NNS
me|O||PRP|help|Other|VB|them|O||PRP
Tom|PERSON||NNP|lives|Other|VBZ|next door|O||NN
She|O||PRP|'s doing|Other|VBG|her best|O||JJS
Dreams|O||NNS|tell|Other|VBP|truth|O||NN
Tom|PERSON||NNP|has|containment|null|money-grubbing opportunist|O||NN
This|O||DT|is|IS-A|VBZ|rather frightening|O||JJ
I|O||PRP|felt like|Other|IN|God|O||NNP
Land|O||NNP|came in|Other|IN|sight|O||NN
You|O||PRP|'re afraid of|Other|IN|him|O||PRP
's|O||PRP|meet on|Other|IN|Sunday|DATE||NNP
Skiing|O||NN|is|IS-A|VBZ|my passion|O||NN
Aisling|PERSON||VBG|seems|Other|VBZ|very happy|O||JJ
